AeoLiS Model Profiling Report
============================================================
Generated: 2025-07-07 10:15:49
Configuration: c:\Users\svries\Documents\GitHub\OE_aeolis-python\aeolis\examples\vanWesten2024\blowout\blowout_short.txt
Total runtime: 37.65 seconds

TOP FUNCTIONS BY CUMULATIVE TIME:
----------------------------------------
         16494201 function calls (15869761 primitive calls) in 38.026 seconds

   Ordered by: cumulative time
   List reduced from 5636 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   11.029    5.515 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\dispatcher.py:344(_compile_for_args)
    221/2    0.003    0.000   10.980    5.490 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\dispatcher.py:858(compile)
 1832/274    0.006    0.000   10.534    0.038 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
        6    0.044    0.007   10.428    1.738 C:\Users\svries\Documents\GitHub\OE_aeolis-python\aeolis\bed.py:234(update)
     44/1    0.000    0.000   10.074   10.074 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\dispatcher.py:79(compile)
     44/1    0.000    0.000   10.074   10.074 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
     44/1    0.001    0.000   10.074   10.074 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
     44/1    0.000    0.000   10.074   10.074 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler.py:713(compile_extra)
     51/1    0.000    0.000   10.073   10.073 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler.py:433(compile_extra)
     51/1    0.000    0.000   10.069   10.069 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler.py:500(_compile_bytecode)
     51/1    0.001    0.000   10.069   10.069 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler.py:456(_compile_core)
     55/1    0.006    0.000   10.069   10.069 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler_machinery.py:342(run)
  1321/27    0.038    0.000   10.068    0.373 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler_machinery.py:267(_runPass)
  3955/81    0.004    0.000   10.063    0.124 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\compiler_machinery.py:271(check)
     43/1    0.003    0.000    9.699    9.699 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typed_passes.py:437(run_pass)
     43/1    0.001    0.000    7.461    7.461 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\lowering.py:188(lower)
     43/1    0.000    0.000    7.038    7.038 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\lowering.py:224(lower_normal_function)
     43/1    0.001    0.000    7.035    7.035 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\lowering.py:241(lower_function_body)
    161/4    0.007    0.000    7.035    1.759 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\lowering.py:266(lower_block)
 2149/264    0.012    0.000    7.031    0.027 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\lowering.py:455(lower_inst)
   315/74    0.001    0.000    6.228    0.084 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\base.py:1189(__call__)
   315/74    0.001    0.000    6.227    0.084 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\base.py:1218(wrapper)
  778/232    0.025    0.000    5.931    0.026 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
4540/1558    0.009    0.000    5.840    0.004 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typing\templates.py:356(apply)
 1904/874    0.004    0.000    5.794    0.007 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typing\templates.py:614(generic)
 1904/874    0.008    0.000    5.791    0.007 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typing\templates.py:705(_get_impl)
        6    0.000    0.000    5.789    0.965 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\lowering.py:595(lower_setitem)
        5    0.000    0.000    5.773    1.155 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\np\arrayobj.py:523(setitem_array)
        5    0.000    0.000    5.758    1.152 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\np\arrayobj.py:1665(fancy_setslice)
   135/35    0.002    0.000    5.743    0.164 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typing\templates.py:756(_build_impl)
   219/10    0.001    0.000    5.739    0.574 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\types\functions.py:531(get_call_type)
   219/10    0.002    0.000    5.739    0.574 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\dispatcher.py:304(get_call_template)
        5    0.000    0.000    5.658    1.132 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\np\arrayobj.py:1683(raise_shape_mismatch_error)
19709/19708    4.819    0.000    5.421    0.000 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\llvmlite\binding\ffi.py:195(__call__)
     55/9    0.001    0.000    5.294    0.588 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typed_passes.py:105(run_pass)
     55/9    0.001    0.000    5.294    0.588 C:\Users\svries\AppData\Local\miniconda3\envs\aeolis\Lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
